Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2006,6,New York City,Queens,16500,16920000
2006,6,New York City,Richmond,3300,3400000
2006,7,New York City,Bronx,14000,13250000
2006,7,New York City,Kings,24600,23530000
2006,7,New York City,New York,16000,16660000
2006,7,New York City,Queens,18900,19740000
2006,7,New York City,Richmond,4600,4810000
2006,8,New York City,Bronx,14200,13600000
2006,8,New York City,Kings,24600,24490000
2006,8,New York City,New York,16000,17570000
2006,8,New York City,Queens,18700,20010000
2006,8,New York City,Richmond,4600,4980000
2006,9,New York City,Bronx,14300,11640000
2006,9,New York City,Kings,24500,19770000
2006,9,New York City,New York,15700,15190000
2006,9,New York City,Queens,18300,16490000
2006,9,New York City,Richmond,4400,3610000
2006,10,New York City,Bronx,12700,12710000
2006,10,New York City,Kings,20400,21290000
2006,10,New York City,New York,14700,16360000
2006,10,New York City,Queens,16000,17880000
2006,10,New York City,Richmond,3400,3800000
2006,11,New York City,Bronx,12300,11080000
2006,11,New York City,Kings,20100,18960000
2006,11,New York City,New York,14100,14110000
2006,11,New York City,Queens,15800,15690000
2006,11,New York City,Richmond,3300,3350000
2006,12,New York City,Bronx,12700,11140000
2006,12,New York City,Kings,20700,19290000
2006,12,New York City,New York,14200,13910000
2006,12,New York City,Queens,16300,15940000
2006,12,New York City,Richmond,3400,3380000
2007,1,New York City,Bronx,15700,14810000
2007,1,New York City,Kings,26700,25770000
2007,1,New York City,New York,16900,18520000
2007,1,New York City,Queens,21000,21770000
2007,1,New York City,Richmond,4800,4660000
2007,2,New York City,Bronx,13300,11950000
2007,2,New York City,Kings,22400,20740000
2007,2,New York City,New York,14900,14730000
2007,2,New York City,Queens,18300,17930000
2007,2,New York City,Richmond,3700,3720000
2007,3,New York City,Bronx,13700,12190000
2007,3,New York City,Kings,22100,20770000
2007,3,New York City,New York,14800,14760000
2007,3,New York City,Queens,18100,17960000
2007,3,New York City,Richmond,3600,3700000
2007,4,New York City,Bronx,14300,12710000
2007,4,New York City,Kings,24700,22100000
2007,4,New York City,New York,15100,15560000
2007,4,New York City,Queens,18800,18200000
2007,4,New York City,Richmond,4300,3970000
2007,5,New York City,Bronx,11900,11140000
2007,5,New York City,Kings,20200,19890000
2007,5,New York City,New York,14200,15140000
2007,5,New York City,Queens,16000,16880000
2007,5,New York City,Richmond,3100,3360000
2007,6,New York City,Bronx,11700,10560000
2007,6,New York City,Kings,19400,18290000
2007,6,New York City,New York,14000,14050000
2007,6,New York City,Queens,15400,15360000
2007,6,New York City,Richmond,3000,3060000
2007,7,New York City,Bronx,14200,14390000
2007,7,New York City,Kings,24300,25470000
2007,7,New York City,New York,15700,17580000
2007,7,New York City,Queens,18200,20320000
2007,7,New York City,Richmond,4400,4850000
2007,8,New York City,Bronx,14300,13270000
2007,8,New York City,Kings,24600,24000000
2007,8,New York City,New York,15400,16240000
2007,8,New York City,Queens,18400,18670000
2007,8,New York City,Richmond,4500,4690000
2007,9,New York City,Bronx,14100,11290000
2007,9,New York City,Kings,24200,19740000
2007,9,New York City,New York,15100,14450000
2007,9,New York City,Queens,18000,16170000
2007,9,New York City,Richmond,4300,3520000
2007,10,New York City,Bronx,12200,12630000
2007,10,New York City,Kings,20100,21370000
2007,10,New York City,New York,14200,16100000
2007,10,New York City,Queens,16000,18220000
2007,10,New York City,Richmond,3200,3730000
2007,11,New York City,Bronx,12000,10820000
2007,11,New York City,Kings,19700,18480000
2007,11,New York City,New York,13700,13620000
2007,11,New York City,Queens,15800,15620000
2007,11,New York City,Richmond,3200,3210000
2007,12,New York City,Bronx,13500,13140000
2007,12,New York City,Kings,22800,22340000
2007,12,New York City,New York,14600,15600000
2007,12,New York City,Queens,18000,18830000
2007,12,New York City,Richmond,4200,4110000
2008,1,New York City,Bronx,15100,13460000
2008,1,New York City,Kings,25400,23820000
2008,1,New York City,New York,16600,17350000
2008,1,New York City,Queens,20500,20480000
2008,1,New York City,Richmond,4300,4170000
2008,2,New York City,Bronx,14000,12630000
2008,2,New York City,Kings,23400,21760000
2008,2,New York City,New York,16000,16360000
2008,2,New York City,Queens,19400,19050000
2008,2,New York City,Richmond,4100,3990000
2008,3,New York City,Bronx,14500,14400000
2008,3,New York City,Kings,23600,24200000
2008,3,New York City,New York,16400,18010000
2008,3,New York City,Queens,19700,20920000
2008,3,New York City,Richmond,4100,4500000
2008,4,New York City,Bronx,14700,13400000
2008,4,New York City,Kings,24800,23240000
2008,4,New York City,New York,16400,17660000
2008,4,New York City,Queens,19800,19740000
